视频链接,发布日期,视频标题,观看次数,点赞次数,评论总数,作者名称,粉丝数量,时间,时长,语种,内容一级标签,内容二级标签,细化内容/创意/亮点,内容产出方向1,Unnamed: 15,细化内容1,内容产出方向2,细化内容2,内容产出方向3,细化内容3,前排评论（前10个即可）,时间1
https://www.youtube.com/watch?v=-pfQaQM38tc,2022-06-04,Extreme Budget Tarkov got Tougher.. (Movie),340445.0,11000.0,0.0,SwampFoxTV,114000.0,2022-06-04,1小时8分,英语,教程攻略向,内容玩法,将塔科夫从零到满装的过程制作成电影，按照各个部分进行教学整理,,,,,,,,称赞视频作者的内容，认为The budget是最好的塔科夫系列视频,2022-06
https://www.youtube.com/watch?v=6oU9CWdGWcU,2022-03-19,Viewers bring me the stupidest guns - Escape from Tarkov,384845.0,8800.0,159.0,Pestily,650000.0,2022-03-19,13分钟,英语,娱乐整活向,内容玩法,塔科夫主播和直播间观众在游戏中互动，由于使用了观众送给他的改造枪，主播最终未能完成逃离，视频过程中笑点颇多,,,,,,,,视频底下的前排评论较为欢快,2022-03
https://www.youtube.com/watch?v=dEKi6WyyoAE,2022-03-19,escape from tarkov but you no longer want to escape,100970.0,5400.0,277.0,Franko,459.0,2022-03-19,2分钟,无语言,娱乐整活向,精彩集锦,塔科夫蹲点埋伏，1v2，1V3集锦,,,,,,,,结合游戏背景故事，阐述自己对于塔科夫的玩法理解，究竟应该以“逃离”为主还是以“战斗”为主,2022-03
https://www.youtube.com/watch?v=2HaSrlesU5I&t=349s,2022-01-08,How To Get EVERY Storage Case In Escape From Tarkov - 12.12 Update!,300324.0,7000.0,261.0,Pestily,124000.0,2022-01-08,28分钟,英语,教程攻略向,内容玩法,12.12版本更新后，新的储物箱获取方法（枪械，子弹，手雷等）,,,,,,,,新版本玩法交流,2022-01
https://www.youtube.com/watch?v=eNXHyeEL3qg,2022-04-22,Escape To Tarkov - Extract Camping (CARTOON),422830.0,25000.0,484.0,Freddie Twenty,143000.0,2022-04-22,3分钟,英语,二创同人向,二创动画,逃离塔科夫的二创动画，里面包含很多游戏梗，比如组队经常被队友背刺,,,,,,,,称赞视频作者的内容，很多人也经历过视频中的那些搞笑时刻,2022-04
https://www.youtube.com/watch?v=ckaLECCGmtE,2022-05-23,BEST OF LVNDMARK - Escape From Tarkov,285834.0,3700.0,100.0,LVNDMARK,354000.0,2022-05-23,1小时2分,英语,技术实况向,高手实况,知名大神LVNDMARK直播的精彩对局剪辑，超远距离手枪爆头之类的酷炫操作,,,,,,,,认可LVNDMARK的技术，称赞他是塔科夫的第一人,2022-05
https://www.youtube.com/watch?v=73Yd47iTIzo,2022-06-29,Complete Beginner Guide to - Escape From Tarkov - All you need to know,48135.0,1400.0,46.0,Halfman,10500.0,2022-06-29,21分钟,英语,教程攻略向,内容玩法,塔科夫新手详细教学视频，包含人物选择，技能等级机制，交易系统，任务系统以及SCAV和PMC阵营等等,,,,,,,,感谢作者的教学，认为游戏应该对新手友好一些，比如Scav（拾荒者）不应该允许互相攻击,2022-06
https://www.youtube.com/watch?v=5QfGaMozkGQ,2022-05-06,Tarkov Cursed Guns: Biggest Iron Edition | Escape From Tarkov Cursed Guns,299871.0,10000.0,415.0,BNBaku,35400.0,2022-05-06,10分钟,英语,娱乐整活向,精彩集锦,使用魔改枪械（比如1米长枪管的手枪）的搞笑集锦,,,,,,,,调侃游戏里的魔改枪械,2022-05
https://www.youtube.com/watch?v=9ki60CSdkyQ,2022-06-20,This DORMS CAMPING Spot Made Me A Millionaire,73639.0,1500.0,153.0,Tigz,37600.0,2022-06-20,12分钟,英语,娱乐整活向,内容玩法,视频作者蹲点埋伏对手，拿下了所有的战利品，一局游戏打完直接暴富,,,,,,,,感谢视频作者，同时分享自己在游戏里蹲点埋伏对手的经验,2022-06
https://www.youtube.com/watch?v=CG8t1TWn4bA,2022-03-04,Get EASY RAIDER GEAR Farming Reserve Bunkers at Night | Reserve Loot Guide | Escape From Tarkov EFT,210448.0,5900.0,458.0,Lone Raiders,12000.0,2022-03-04,16分钟,英语,教程攻略向,内容玩法,Raid模式刷奖励的教学，包括装备选择，路线教学等,,,,,,,,称赞视频作者的内容,2022-03
https://www.youtube.com/watch?v=uvtFQU9qSj0,2022-06-26,This isn’t the Tarkov we know..,251237.0,10000.0,806.0,2Lew,98900.0,2022-06-26,29分钟,英语,娱乐整活向,高手实况,视频作者2Lew成为了官方认证的“Sherpa（新手导师）”，在某一局游戏里他照例在地图上寻找敌人然后逐个击杀，但半路遇到了一个萌新，自己没忍心开枪，最终和萌新一起逃离成功,,,,,,,,称赞视频作者的内容,2022-06
https://www.youtube.com/watch?v=-Luyx_PWo4Q,2022-01-24,Golden Swag - Skier Task Guide - Escape From Tarkov,136321.0,1800.0,41.0,LVNDMARK,75200.0,2022-01-24,4分钟,英语,教程攻略向,内容玩法,“Golden Swag”任务详细教学,,,,,,,,称赞视频作者的内容,2022-01
https://www.youtube.com/watch?v=JLb-QI3jDMg,2022-01-30,Stop wasting money - Escape From Tarkov - Barter Guide,221579.0,8200.0,722.0,Airwingmarine,96000.0,2022-01-30,28分钟,英语,教程攻略向,内容玩法,交易系统详细教学，在各个模式和角色下如何正确购买合适的物品，不浪费钱,,,,,,,,分享自己的交易心得,2022-01
https://www.youtube.com/watch?v=76tAwH9Rdb4,2022-01-25,Chemical Part 1 - Skier Task Guide - Escape From Tarkov,111543.0,1300.0,38.0,LVNDMARK,75200.0,2022-01-25,3分钟,英语,教程攻略向,内容玩法,“化学品 Part.1”任务详细教学,,,,,,,,分享自己做任务的心得,2022-01
https://www.youtube.com/watch?v=E2jlBHvI9DQ,2022-02-15,Lend Lease Part 1 - Skier Task Guide - Escape From Tarkov,83299.0,972.0,19.0,LVNDMARK,75200.0,2022-02-15,7分钟,英语,教程攻略向,内容玩法,“租借法案 - Part 1”任务详细教学,,,,,,,,感谢视频作者的分享，希望能继续推出任务第二部分的攻略,2022-02
https://www.youtube.com/watch?v=DLYvQHmeeTE,2022-06-29,"Must Know Tips After 8,500+ Hours of Escape From Tarkov",67811.0,4900.0,176.0,Halfman,4730.0,2022-06-29,5分钟,英语,教程攻略向,通用技巧,8500小时大神分享塔科夫游戏心得，重点为射击教学，尤其是第一视角侧身位Peek,,,,,,,,感谢视频作者的分享，在评论区自行补充自己的射击心得,2022-06
https://www.youtube.com/watch?v=N7qnL5RKz0M,2022-06-19,An \,85402.0,3800.0,375.0,Leviticus,75400.0,2022-06-19,24分钟,英语,教程攻略向,通用技巧,塔科夫服饰装备等级排序,,,,,,,,交流游戏内的服饰强弱，和现实中的UCP进行对比,2022-06
https://www.youtube.com/watch?v=KxqaEAF1wDM,2022-01-07,RISK FREE MILLIONS OF ROGUE LOOT as a Scav Guide | Lighthouse Loot Run | Escape From Tarkov EFT,456068.0,15000.0,0.0,Lone Raiders,12000.0,2022-01-07,8分钟,英语,教程攻略向,内容玩法,SCAV（拾荒者）玩法教学,,,,,,,,对作者的教学进行补充，比如如何躲避PMC的攻击,2022-01
https://www.youtube.com/watch?v=tstbdzNLfxU,2021-12-31,Airdrops in Tarkov — NEW permanent event in EFT,427887.0,4600.0,312.0,TarkovPoetry,34500.0,2021-12-31,16分钟,英语,娱乐整活向,精彩集锦,Twitch塔科夫主播的实况录像剪辑，有些主播靠着空投一波暴富，有的则是因为捡空投被埋伏而死掉,,,,,,,,吐槽自己很少遇到空投，认为空投获利的不是第一时间冲上去的玩家，而是躲在掩体后打黑枪的玩家,2021-12
https://www.youtube.com/watch?v=uIuqtWxGVLw,2021-12-13,Killing Twitch Streamers in Escape from Tarkov #9! *WITH REACTIONS*,418208.0,12000.0,528.0,fourzer0seven,2009999.0,2021-12-13,14分钟,英语,娱乐整活向,精彩集锦,视频作者击杀Twitch塔科夫主播的集锦，附带有主播被击杀时的表情和反应，整体偏搞笑、善用音效,,,,,,,,夸奖视频作者技术好，调侃Twitch主播,2021-12
https://www.youtube.com/watch?v=6u7xKuy50U0,2022-06-24,OBDOLBOS(5% RIP) - Pre-WIPE EVENTS \u0026 Viewer Kits PART 1,177928.0,2700.0,91.0,LVNDMARK,354000.0,2022-06-24,28分钟,英语,娱乐整活向,体验实况,知名大神LVNDMARK直播时候的搞笑时刻剪辑、主播生动配音提高沉浸感,,,,,,,,认可LVNDMARK的技术,2022-06
https://www.youtube.com/watch?v=Kpu7bSn3Qjs&t=9s,2022-02-01,Disease History - Therapist Task Guide - Escape From Tarkov,74647.0,918.0,37.0,LVNDMARK,75200.0,2022-02-01,3分钟,英语,教程攻略向,内容玩法,“Therapist”任务详细教学、分场景解析,,,,,,,,感谢视频作者的分享,2022-02
https://www.youtube.com/watch?v=K6g219pS9Ds,2021-12-13,Gunsmith Part 1 12.12 UPDATED - Mechanic Task Guide - Escape From Tarkov,435259.0,4700.0,186.0,Piranha,75200.0,2021-12-13,4分钟,英语,教程攻略向,内容玩法,“Gunsmith Part 1”任务详细教学,,,,,,,,感谢视频作者的分享,2021-12
https://www.youtube.com/watch?v=dWHoNUbxUX8,2022-05-02,Escape from Tarkov Moments that might get me CANCELLED,137186.0,6600.0,208.0,fourzer0seven,2009999.0,2022-05-02,13分钟,英语,娱乐整活向,精彩集锦,塔科夫奇葩搞笑集锦（比如弹夹打空一枪没中，或者逃跑时歪打正着被包夹）、多主播合作吐槽,,,,,,,,视频底下的前排评论较为欢快,2022-05
https://www.youtube.com/watch?v=Sx-AjkcEaLE,2022-06-08,Escape from Tarkov cursed guns should be ILLEGAL,241564.0,9400.0,230.0,fourzer0seven,2009999.0,2022-06-08,12分钟,英语,娱乐整活向,内容玩法,使用魔改枪械（比如3个瞄准镜的MP9）的搞笑集锦,,,,,,,,称赞视频作者的内容,2022-06
https://www.youtube.com/watch?v=UmU38YRkLwA,2022-03-19,Escape from Tarkov but it's NOTHING BUT PAIN,120066.0,5600.0,137.0,fourzer0seven,2009999.0,2022-03-19,11分钟,英语,娱乐整活向,精彩集锦,塔科夫奇葩搞笑集锦（比如敌对陌生人非法组队）,,,,,,,,称赞视频作者的内容,2022-03
https://www.youtube.com/watch?v=96swIhH1Fkk,2021-12-18,Tarkov voip,726220.0,37000.0,0.0,Stimpee,898000.0,2021-12-18,8分钟,英语,娱乐整活向,精彩集锦,塔科夫VOIP（语音系统）所产生的一系列搞笑时刻，每次开麦后都被队友击杀,,,,,,,,称赞视频作者的内容，认为塔科夫里最应该警惕的其实是自己的队友,2021-12
https://www.youtube.com/watch?v=p9EplTM1_TU,2022-01-18,Escape from Tarkov proximity chat was a GREAT IDEA,211608.0,9000.0,243.0,fourzer0seven,2009999.0,2022-01-18,13分钟,英语,娱乐整活向,精彩集锦,在塔科夫里开自由麦吸引对手，一边打一边互喷的搞笑镜头,,,,,,,,称赞视频作者的内容，认为塔科夫很容易搞出类似的节目效果,2022-01
https://www.youtube.com/watch?v=Y24yAEKl16Q,2022-02-22,Health Care Privacy Part 2 - Therapist Task Guide - Escape From Tarkov,67261.0,955.0,18.0,Gigabeef,75200.0,2022-02-22,3分钟,英语,教程攻略向,内容玩法,“Health Care Privacy Part 2”任务详细教学,,,,,,,,感谢视频作者的分享,2022-02
https://www.youtube.com/watch?v=UcxQvIvnLo0,2022-02-05,Bad Rep Evidence - Prapor Task Guide - Escape From Tarkov,87690.0,1200.0,26.0,Gigabeef,75200.0,2022-02-05,3分钟,英语,教程攻略向,内容玩法,“Bad Rep Evidence”任务详细教学,,,,,,,,感谢视频作者的分享,2022-02
https://www.youtube.com/watch?v=W-5UEmPRPac,2022-02-04,Chemical Part 2 - Skier Task Guide - Escape From Tarkov,66576.0,1100.0,22.0,Gigabeef,75200.0,2022-02-04,3分钟,英语,教程攻略向,内容玩法,“Chemical Part 2”任务详细教学,,,,,,,,感谢视频作者的分享,2022-02
https://www.youtube.com/watch?v=1iLIn3rZE1M,2022-02-24,Vitamins Part 1 - Skier Task Guide - Escape From Tarkov,60402.0,642.0,11.0,Piranha,75200.0,2022-02-24,5分钟,英语,教程攻略向,内容玩法,“Vitamins Part 1”任务详细教学,,,,,,,,感谢视频作者的分享,2022-02
https://www.youtube.com/watch?v=s6F6LkVx2yg&t=90s,2022-04-22,I'll Never Forget this Tarkov Raid...,215226.0,9700.0,260.0,Aculite,1210000.0,2022-04-22,17分钟,英语,娱乐整活向,内容玩法,与好友组队进行Raid模式的实况录像（戏剧性翻车）,,,,,,,,称赞视频作者的内容，认为好的队友才是游戏最珍贵的东西,2022-04
https://www.youtube.com/watch?v=hQdOyznhEC4&t=2s,2022-06-21,5  Essential Tarkov PVP Tips for Beginners - Escape From Tarkov PVP Guide,35113.0,1400.0,82.0,EUL Gaming,2140.0,2022-06-21,5分钟,英语,教程攻略向,通用技巧,新手PVP内容教学，包含枪械选择，Peek操作，全自动/点射切换等,,,,,,,,感谢视频作者的分享，补充自己的游戏心得，比如手雷的使用,2022-06
https://www.youtube.com/watch?v=dJEnRuhpOM0,2022-06-25,ALL BOSSES ARE ON CUSTOMS,175239.0,3800.0,113.0,LVNDMARK,354000.0,2022-06-25,21分钟,英语,娱乐整活向,高手实况,知名大神LVNDMARK直播的精彩对局实况，海关地图遭遇所有BOSS,,,,,,,,认可LVNDMARK的技术,2022-06
https://www.youtube.com/watch?v=NyjtWYkBMb4,2022-01-31,Revision Part 1 - Peacekeeper Task Guide - Escape From Tarkov,68258.0,735.0,48.0,LVNDMARK,75200.0,2022-01-31,6分钟,英语,教程攻略向,内容玩法,“Revision Part 1”任务详细教学,,,,,,,,感谢视频作者的分享,2022-01
https://www.youtube.com/watch?v=CBoLg7NGqKo,2022-01-30,THE RUSSIAN AR-15! - Escape From Tarkov ADAR DMR Build Gameplay,290102.0,10000.0,310.0,OperatorDrewski,1550000.0,2022-01-30,23分钟,英语,教程攻略向,枪械教程,BD配装（AR-15使用教学）,,,,,,,,视频底下的前排评论较为欢快,2022-01
https://www.youtube.com/watch?v=jqYoRkXa3N8,2022-01-19,S-F Tier List - Guns .12.12 - Escape from Tarkov,449564.0,12000.0,983.0,Pestily,650000.0,2022-01-19,48分钟,英语,教程攻略向,枪械教程,12.12版本更新后，各种枪械的强弱排名,,,,,,,,发表自己对于枪械强弱的看法,2022-01
https://www.youtube.com/watch?v=0U0ya8GbgNk,2022-04-30,This tip is crucial to improving in Tarkov..,173456.0,5500.0,486.0,2Lew,98900.0,2022-04-30,29分钟,英语,教程攻略向,通用技巧,各个地区的枪械推荐，以及具体的打法展示,,,,,,,,感谢视频作者的分享。认为其他人只会秀自己的击杀，这个视频的作者会讲解如何选择敌人的战利品等细节,2022-04
https://www.youtube.com/watch?v=_HikA8FbGcc,2022-02-14,I Sold 50 Slicks After Learning this Secret,246903.0,6600.0,706.0,Rengawr,48000.0,2022-02-14,14分钟,英语,教程攻略向,护甲教程,作者认为版本更新后Slicks黑甲不再是好的选择,,,,,,,,发表自己对于护甲强弱的看法,2022-02
https://www.youtube.com/watch?v=aD23yUVRmHU,2022-02-12,Farming Part 3 - Mechanic Task Guide - Escape From Tarkov,55520.0,859.0,17.0,Gigabeef,75200.0,2022-02-12,3分钟,英语,教程攻略向,内容玩法,“Farming Part 3”任务详细教学,,,,,,,,感谢视频作者的分享,2022-02
https://www.youtube.com/watch?v=K18_9S4LgJk&t=37s,2022-05-18,How we went from RAGS TO RICHES (Ft AquaFPS) - Escape From Tarkov,81041.0,2000.0,107.0,Trey24k,56100.0,2022-05-18,12分钟,英语,娱乐整活向,内容玩法,和朋友双排的实况录像,,,,,,,,称赞作者的视频制作能力,2022-05
